1: scale_down='30', scale_up='90'
2: scale_down='46', scale_up='97'
3: scale_down='29', scale_up='56'
4: scale_down='35', scale_up='51'
5: scale_down='11', scale_up='42'
6: scale_down='41', scale_up='59'
7: scale_down='4', scale_up='26'
8: scale_down='38', scale_up='76'
9: scale_down='18', scale_up='95'
10: scale_down='30', scale_up='43'
11: scale_down='52', scale_up='85'
12: scale_down='7', scale_up='51'
13: scale_down='10', scale_up='66'
14: scale_down='15', scale_up='80'
15: scale_down='8', scale_up='66'
16: scale_down='78', scale_up='98'
17: scale_down='53', scale_up='97'
18: scale_down='13', scale_up='66'
19: scale_down='29', scale_up='100'
20: scale_down='14', scale_up='65'
21: scale_down='15', scale_up='85'
22: scale_down='1', scale_up='65'
23: scale_down='42', scale_up='43'
24: scale_down='12', scale_up='88'
25: scale_down='43', scale_up='44'
26: scale_down='53', scale_up='84'
27: scale_down='44', scale_up='45'
28: scale_down='22', scale_up='33'
29: scale_down='42', scale_up='45'
30: scale_down='27', scale_up='48'
31: scale_down='75', scale_up='78'
32: scale_down='23', scale_up='49'
33: scale_down='0', scale_up='37'
34: scale_down='86', scale_up='97'
35: scale_down='2', scale_up='37'
36: scale_down='9', scale_up='24'
37: scale_down='28', scale_up='47'
38: scale_down='1', scale_up='37'
39: scale_down='17', scale_up='86'
40: scale_down='45', scale_up='64'
