Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,90.0,0,10.0,-1,0.0,0.0,1,90.0,0,0.0,SAT,-1,2.099,
2,2,1,97.0,0,10.0,-1,0.0,0.0,1,97.0,1,0.0,SAT,-1,2.025,
3,3,1,56.0,0,10.0,-1,0.0,0.0,1,56.0,1,0.0,SAT,-1,2.02,
4,4,1,51.0,0,10.0,-1,0.0,0.0,1,51.0,1,0.0,SAT,-1,2.022,
5,5,1,42.0,0,10.0,-1,0.0,0.0,1,42.0,1,0.0,SAT,-1,2.018,
6,6,1,59.0,0,10.0,-1,0.0,0.0,1,59.0,1,0.0,SAT,-1,2.025,
7,7,1,26.0,0,10.0,-1,0.0,0.0,1,26.0,1,0.0,SAT,-1,2.017,
8,8,1,76.0,0,10.0,-1,0.0,0.0,1,76.0,1,0.0,SAT,-1,2.018,
9,9,1,95.0,0,10.0,-1,0.0,0.0,1,95.0,1,0.0,SAT,-1,2.038,
10,10,1,43.0,0,10.0,-1,0.0,0.0,1,43.0,1,0.0,SAT,-1,2.017,
11,11,1,85.0,0,10.0,-1,0.0,0.0,1,85.0,1,0.0,SAT,-1,2.04,
12,12,1,51.0,0,10.0,-1,0.0,0.0,1,51.0,1,0.0,SAT,-1,2.014,
13,13,1,66.0,0,10.0,-1,0.0,0.0,1,66.0,2,0.0,SAT,-1,2.023,
14,14,1,80.0,0,10.0,-1,0.0,0.0,1,80.0,2,0.0,SAT,-1,2.02,
