Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,-80.0,0,10.0,-1,0.0,0.0,1,-80.0,0,0.0,SAT,,0.08,
2,2,1,-80.0,0,10.0,-1,0.0,0.0,1,-80.0,1,0.0,SAT,,0.027,
3,3,1,-80.0,0,10.0,-1,0.0,0.0,1,-80.0,1,0.0,SAT,,0.032,
4,4,1,-80.0,0,10.0,-1,0.0,0.0,1,-80.0,1,0.0,SAT,,0.028,
5,5,1,-80.0,0,10.0,-1,0.0,0.0,1,-80.0,1,0.0,SAT,,0.027,
6,6,1,-80.0,0,10.0,-1,0.0,0.0,1,-80.0,1,0.0,SAT,,0.026,
7,7,1,-80.0,0,10.0,-1,0.0,0.0,1,-80.0,1,0.0,SAT,,0.026,
8,8,1,-80.0,0,10.0,-1,0.0,0.0,1,-80.0,1,0.0,SAT,,0.027,
9,9,1,-80.0,0,10.0,-1,0.0,0.0,1,-80.0,1,0.0,SAT,,0.026,
10,10,1,-80.0,0,10.0,-1,0.0,0.0,1,-80.0,1,0.0,SAT,,0.026,
11,11,1,-80.0,0,10.0,-1,0.0,0.0,1,-80.0,1,0.0,SAT,,0.026,
12,12,1,-80.0,0,10.0,-1,0.0,0.0,1,-80.0,1,0.0,SAT,,0.026,
